[いち]から十まで かぞえる。|りんごが[ひと]つ ある。|[いち]年生に なった。,一,4e00
[みぎ]手でえんぴつをもつ。|[みぎ]に大きな山がある。|左[ゆう]をよく見る。,右,53f3
[あめ]が ふる。|[う]てんの日は 休みだ。|[あま]ぐつを はいて 出かける。,雨,96e8
[まる]いかたちのボールだ。|百[えん]でアメをかう。|[えん]をノートにかく。,円,5186
[おう]さまにあう。|[おう]子が生まれる。|女[おう]がすんでいる。,王,738b
大きな[おと]がする。|[おん]がくがすきだ。|虫が[おと]を立てる。,音,97f3
つくえの[した]にねこがいる。|山を[くだ]る。|上[げ]に気をつける。,下,4e0b
[か]じに きを つける。|[ひ]が もえている。|[か]ようびに たいそうが ある。,火,706b
[はな]がさく。|白い[はな]を見る。|小さな[はな]が村にさく。,花,82b1
[かい]をひろう。|大きな[かい]を見つける。|[かい]がらをあつめる。,貝,8c9d
[がっ]校が休みだ。|字を[まな]ぶ。|[がく]力をつける。,学,5b66
[き]もちが いい。|天[き]よほうを きく。|空[き]が きれいな 山だ。,気,6c17
[く]月には あきかぜが ふく。|いちごが[ここの]つ ある。|[きゅう]じゅう円の おかしを かう。,九,4e5d
いえで[やす]む。|学校が[きゅう]日だ。|木の下で[やす]む。,休,4f11
大きな[たま]であそぶ。|赤い[たま]を見る。|白い[たま]がころがる。,玉,7389
[きん]ようびが たのしみだ。|お[かね]を たいせつに つかう。|[きん]の ゆびわを もらう。,金,91d1
[そら]が あおい。|[くう]きが おいしい。|せきが[あ]く。,空,7a7a
よるに[つき]が きれいだ。|一[がつ]は さむい。|[げつ]ようびに 学校へ いく。,月,6708
[いぬ]がはしる。|小さな[いぬ]がいる。|白い[いぬ]を見る。,犬,72ac
空を[み]る。|[けん]がくに いく。|花[み]に いく。,見,898b
[ご]月は あたたかい。|ゆびが[いつ]つ ある。|[ご]年生に なる。,五,4e94
[くち]を大きくあける。|人[こう]について学ぶ。|出[ぐち]を見つける。,口,53e3
[こう]ていで あそぶ。|学[こう]で べんきょうする。|[こう]しゃの となりに 木が ある。,校,6821
[ひだり]手で本をもつ。|[ひだり]に小さな川がある。|[さ]右をたしかめる。,左,5de6
[さん]月に はなが さく。|車が[みっ]つ ある。|[さん]年生に なる。,三,4e09
[やま]に のぼる。|火[ざん]から けむりが 出る。|大きな[やま]が 見える。,山,5c71
[こ]どもが あそんでいる。|女の[こ]が わらう。|男[し]チームが かつ。,子,5b50
[し]月に 入学する。|りんごが[よっ]つ ある。|[よん]人で あそぶ。,四,56db
[いと]でむすぶ。|白い[いと]を見る。|ほそい[いと]を出す。,糸,7cf8
[じ]を きれいに かく。|文[じ]を ならう。|ローマ[じ]を べんきょうする。,字,5b57
[みみ]で音をきく。|大きな[みみ]の犬。|[みみ]をすます。,耳,8033
[しち]月に たなばたが ある。|ほしが[なな]つ 見える。|[しち]五三の おいわいを する。,七,4e03
[くるま]にのる。|水[しゃ]を見る。|赤い[くるま]がくる。,車,8eca
[て]をあらう。|[て]で花をもつ。|右[て]を上げる。,手,624b
[じゅう]月には うんどうかいが ある。|みかんが[とお]ある。|[じゅう]円玉を ひろった。,十,5341
そとに[で]る。|本を[だ]す。|早く[で]かける。,出,51fa
[おんな]の子が うたう。|[じょ]しが てを あげる。|男の子と[おんな]の子が あそぶ。,女,5973
[ちい]さい 犬が いる。|[しょう]学校へ いく。|[お]がわで あそぶ。,小,5c0f
つくえの[うえ]に本がある。|木に[のぼ]る。|[じょう]下に気をつける。,上,4e0a
[もり]で虫を見る。|大きな[もり]がある。|[しん]林をあるく。,森,68ee
[ひと]が おおぜい いる。|[じん]こうが おおい 町。|三[にん]で あそぶ。,人,4eba
[みず]を のむ。|プールで[すい]えいを する。|[すい]ようびは 休みだ。,水,6c34
[ただ]しい字をかく。|お[しょう]月に休む。|[ただ]しく立つ。,正,6b63
子犬が[う]まれる。|森で[い]きる。|先[せい]を見る。,生,751f
[あお]い 空が きれいだ。|[せい]年が がんばる。|しんごうが[あお]に なる。,青,9752
[ゆう]立ちがくる。|[ゆう]日が見える。|[ゆう]がたに空を見る。,夕,5915
大きな[いし]を見る。|[いし]につまずく。|白い[いし]をひろう。,石,77f3
[あか]い はなが さく。|[あか]ちゃんが ねんねする。|白と[あか]の はたが ある。,赤,8d64
[せん]円を出す。|[せん]までかぞえる。|村に[せん]人があつまる。,千,5343
[かわ]で およぐ。|小[がわ]に めだかが いる。|[かわ]の みずは つめたい。,川,5ddd
