[みぎ]手でえんぴつをもつ。|[みぎ]に大きな山がある。|左[ゆう]をよく見る。,右,53f3
[ひだり]手で本をもつ。|[ひだり]に小さな川がある。|[さ]右をたしかめる。,左,5de6
つくえの[うえ]に本がある。|木に[のぼ]る。|[じょう]下に気をつける。,上,4e0a
つくえの[した]にねこがいる。|山を[くだ]る。|上[げ]に気をつける。,下,4e0b
[まる]いかたちのボールだ。|百[えん]でアメをかう。|[えん]をノートにかく。,円,5186
[おう]さまにあう。|[おう]子が生まれる。|女[おう]がすんでいる。,王,738b
大きな[おと]がする。|[おん]がくがすきだ。|虫が[おと]を立てる。,音,97f3
[はな]がさく。|白い[はな]を見る。|小さな[はな]が村にさく。,花,82b1
[かい]をひろう。|大きな[かい]を見つける。|[かい]がらをあつめる。,貝,8c9d
[がっ]校が休みだ。|字を[まな]ぶ。|[がく]力をつける。,学,5b66
いえで[やす]む。|学校が[きゅう]日だ。|木の下で[やす]む。,休,4f11
大きな[たま]であそぶ。|赤い[たま]を見る。|白い[たま]がころがる。,玉,7389
[いぬ]がはしる。|小さな[いぬ]がいる。|白い[いぬ]を見る。,犬,72ac
[くち]を大きくあける。|人[こう]について学ぶ。|出[ぐち]を見つける。,口,53e3
[いと]でむすぶ。|白い[いと]を見る。|ほそい[いと]を出す。,糸,7cf8
[みみ]で音をきく。|大きな[みみ]の犬。|[みみ]をすます。,耳,8033
[くるま]にのる。|水[しゃ]を見る。|赤い[くるま]がくる。,車,8eca
[て]をあらう。|[て]で花をもつ。|右[て]を上げる。,手,624b
そとに[で]る。|本を[だ]す。|早く[で]かける。,出,51fa
[もり]で虫を見る。|大きな[もり]がある。|[しん]林をあるく。,森,68ee
[ただ]しい字をかく。|お[しょう]月に休む。|[ただ]しく立つ。,正,6b63
子犬が[う]まれる。|森で[い]きる。|先[せい]を見る。,生,751f
[ゆう]立ちがくる。|[ゆう]日が見える。|[ゆう]がたに空を見る。,夕,5915
大きな[いし]を見る。|[いし]につまずく。|白い[いし]をひろう。,石,77f3
[せん]円を出す。|[せん]までかぞえる。|村に[せん]人があつまる。,千,5343
[さき]にいく。|お[さき]にどうぞ。|[せん]生にあう。,先,5148
[はや]くおきる。|[はや]い車にのる。|[はや]く林につく。,早,65e9
[くさ]を見る。|青い[くさ]がある。|村の[くさ]をかる。,草,8349
[あし]で立つ。|お金が[た]りる。|犬の[あし]が早い。,足,8db3
小さな[むら]がある。|[むら]の人とはなす。|山[そん]にすむ。,村,6751
[たけ]やぶに入る。|大きな[たけ]を見る。|[ちく]林であそぶ。,竹,7af9
[むし]がなく。|小さな[むし]を見る。|森に[むし]がいる。,虫,866b
[まち]をあるく。|大きな[まち]にすむ。|[ちょう]村であう。,町,753a
いえに[はい]る。|おちゃを[い]れる。|[にゅう]学する。,入,5165
[とし]をとる。|[とし]をかぞえる。|十[ねん]立つ。,年,5e74
[ひゃく]円を出す。|[ひゃく]までかぞえる。|[ひゃく]人があつまる。,百,767e
[め]を大きくあける。|[め]で見る。|[め]を休める。,目,76ee
[た]ってまつ。|村に[た]つ大きな木。|早く[た]ち上がる。,立,7acb
[ちから]を出す。|[ちから]もちの人。|学[りょく]をつける。,力,529b
[はやし]の中をあるく。|小さな[はやし]がある。|山[りん]を見る。,林,6797
