犬が[うご]く。|自[どう]車を見る。|手を[うご]かす。,動,52d5
五[さい]になる。|天[さい]な子です。|三[さい]の妹がいる。,才,624d
[こう]番に行く。|[こう]通に気をつける。|道が[まじ]わる。,交,4ea4
星が[ひか]る。|日[こう]がまぶしい。|石が[ひか]る。,光,5149
[こう]園で花を見る。|[こう]園に友だちと行く。|大きな[こう]園がある町。,公,516c
答えが[あ]う。|二つを[あ]わせる。|[ごう]計を出す。,合,5408
[さん]数を教わる。|計[さん]をする。|頭の中で[さん]数する。,算,7b97
よく[かんが]える。|思[こう]して答える。|一人でじっくり[かんが]える。,考,8003
学校に[い]く。|[こう]動に気をつける。|会を[おこな]う。,行,884c
[き]色いバナナを食べる。|花が[き]色になる。|[おう]金色にかがやく空。,黄,9ec4
[くろ]い犬がいる。|白[くろ]の絵をかく。|空が[くろ]くなる。,黒,9ed2
車が[と]まる。|雨で中[し]になる。|走るのを[と]める。,止,6b62
[し]立の学校に通う。|大きな[し]に行く。|[いち]場で魚を買う。,市,5e02
[あね]と話す。|お[ねえ]さんと出かける。|[し]まいで出かける。,姉,59c9
うれしいと[おも]う。|どうしようか[おも]う。|友だちを[おも]いやる。,思,601d
[かみ]をおって鳥を作る。|手[がみ]を書く。|色[がみ]で絵をかく。,紙,7d19
お[てら]に行く。|古い[てら]を見る。|山の中に[てら]がある。,寺,5bfa
弓[や]がある。|[や]のようにはやい。|弓と[や]を見せてもらう。,矢,77e2
[じ]分で考える。|[じ]動車を見る。|[みずか]ら手をあげる。,自,81ea
[と]計を見る。|春が来る[とき]。|今何[じ]ですか。,時,6642
教[しつ]に入る。|図画[しつ]に行く。|理科[しつ]に行く。,室,5ba4
体が[よわ]い。|風が[よわ]まる。|音の強[じゃく]を聞く。,弱,5f31
[くび]をふる。|[くび]がいたい。|[くび]に赤いバンダナをまく。,首,9996
[あき]になる。|[あき]はくだものがおいしい。|空が高い[あき]の日。,秋,79cb
毎[しゅう]プールに行く。|来[しゅう]また会おう。|今[しゅう]は雨が多い。,週,9031
[はる]になると花がさく。|[はる]休みに出かける。|立[しゅん]の日はまだ雪が少ない。,春,6625
手紙を[か]く。|教科[しょ]を読む。|名前を[か]く。,書,66f8
[すこ]し休む。|[しょう]年が走る。|水が[すく]ない。,少,5c11
会[じょう]に入る。|広い[ば]で走る。|市[ば]で魚を買う。,場,5834
赤い[いろ]の花がさく。|クレヨンの[いろ]をまぜる。|空の[いろ]が青くなる。,色,8272
パンを[た]べる。|夕[しょく]を作る。|虫が花を[く]う。,食,98df
[こころ]がおどる。|中[しん]に立つ。|[こころ]をこめて手紙を書く。,心,5fc3
[あたら]しい本を読む。|[しん]聞を読む。|[あたら]しい年になる。,新,65b0
[おや]と話す。|[した]しい友だちがいる。|父[おや]と出かける。,親,89aa
地[ず]を見る。|[ず]画をかく。|大きい地[ず]を広げる。,図,56f3
夜空に[ほし]が光る。|火[せい]は赤い。|一番[ぼし]になりたい。,星,661f
大きな[こえ]で話す。|友だちに[こえ]をかける。|音[せい]がきれいに聞こえる。,声,88f0
空が[は]れる。|[せい]天の日が多い。|心が[は]れやかになる。,晴,6674
紙を[き]る。|大[せつ]な友だちと話す。|糸が[き]れる。,切,5207
白い[ゆき]が空からふる。|山に[ゆき]がつもる。|[ゆき]だるまを作る。,雪,96ea
