気[ぶん]がいい。|十[ふん]で来る。|ケーキを[わ]ける。,分,5206
新[ぶん]を読む。|歌を[き]く。|話を[き]く。,聞,805e
[こめ]を食べる。|[べい]国に行く。|新[まい]を買う。,米,7c73
[ある]いて行く。|一[ぽ]すすむ。|[ほ]どうを通る。,歩,6b69
[はは]と出かける。|父[ぼ]の話をする。|[はは]は先生だ。,母,6bcd
あの[かた]は先生だ。|北の[ほう]を見る。|作り[かた]を知る。,方,65b9
[きた]の国は雪が多い。|東[ほく]の空を見る。|[きた]風がふく。,北,5317
[まい]日新聞を読む。|[まい]週学校に行く。|[まい]年春が来る。,毎,6bce
[いもうと]と話す。|姉[まい]で歌う。|[いもうと]は小さい。,妹,59b9
一[まん]円ある。|[まん]年前の話。|十[まん]人が来る。,万,4e07
[あか]るい空を見る。|[みょう]日また来る。|[めい]という字を書く。,明,660e
犬が[な]く。|ベルが[な]る。|鳥が[な]いている。,鳴,9cf4
[け]糸で作る。|[け]虫を見つける。|赤[げ]の馬がいる。,毛,6bdb
校[もん]で会う。|[かど]の前に立つ。|正[もん]から入る。,門,9580
[よる]に星を見る。|今[や]家に帰る。|[よ]なかは音がしない。,夜,591c
[の]原を歩く。|[や]さいを食べる。|[や]きゅうを見る。,野,91ce
[とも]だちと話す。|親[ゆう]と会う。|[とも]だちと本を読む。,友,53cb
[よう]じがある。|水を[よう]いする。|[よう]紙に書く。,用,7528
今日は何[よう]日ですか。|火[よう]日に会う。|土[よう]日は休む。,曜,66dc
明日また[く]る。|[らい]週学校に行く。|北から[き]た人。,来,6765
古[さと]に帰る。|一[り]の道を歩く。|[さと]の家に行く。,里,91cc
[り]科の本を読む。|つくえを整[り]する。|心[り]を考える。,理,7406
先生と[はな]す。|[はなし]を書く。|二人で[わ]をする。,話,8a71
山が[たか]い。|[こう]校に行く。|声が[たか]く聞こえる。,高,9ad8
[くに]の名前を知る。|中[ごく]の話を聞く。|この[くに]は広い。,国,56fd
[いま]何時ですか。|[こん]週は晴れる。|[いま]から出かける。,今,4eca
[ほそ]い糸を切る。|[こま]かい字を書く。|[さい]心に絵をかく。,細,7d30
おもちゃを[つく]る。|[さく]文を書く。|動[さ]をまねる。,作,4f5c
[しゃ]会科の本を読む。|[しゃ]長の話を聞く。|会[しゃ]に行く。,社,793e
りんごの[かず]を知る。|一から十まで[かぞ]える。|算[すう]を学ぶ。,数,6570
[にし]の空を見る。|東[せい]南北を知る。|[にし]の門から入る。,西,897f
力が[あ]る。|[ゆう]名な人に会う。|お金が[あ]る。,有,6709
花を[う]える。|[しょく]林をする。|木を[う]える。,植,690d
[ゆび]を見る。|先生が[し]名する。|[ゆび]で数える。,指,6307
[かん]字を書く。|[かん]字を読む。|[かん]字の本を見る。,漢,6f22
[ひょう]を見る。|心を[あらわ]す絵をかく。|紙の[おもて]に書く。,表,8868
[あじ]がいい。|[み]方になる。|[あじ]見をする。,味,5473
[よ]算を考える。|[よ]という字を書く。|天気を[よ]そくする。,予,4e88
[みや]まいりに行く。|[きゅう]でんを見る。|西の[みや]を知る。,宮,5bae
つくえを[ととの]える。|[せい]理をする。|心を[ととの]える。,整,6574
