[うつく]しい花を見る。|この[び]人は先生だ。|道を[び]化してきれいにする。,美,7f8e
[のう]家で牛を育てる。|[のう]民が畑で米を作る。|[のう]地を広げる。,農,8fb2
寒さを[かん]じる。|本の[かん]想を話す。|いやな予[かん]がする。,感,611f
野原に[ひつじ]がいる。|[ひつじ]の毛でセーターを作る。|[よう]毛のセーターは温かい。,羊,7f8a
絵を紙に[うつ]す。|[しゃ]真をとる。|池に空が[うつ]る。,写,5199
道[ぐ]を大切にする。|[ぐ]合が悪い。|家[ぐ]を新しくする。,具,5177
食べ[もの]を買う。|動[ぶつ]園に行く。|荷[もつ]を店に送る。,物,7269
花を[そだ]てる。|妹が[そだ]つ。|学校で体[いく]をする。,育,80b2
[じん]社に行く。|[かみ]様の話を聞く。|森に[かみ]様がいると伝えられる。,神,795e
道[ろ]を歩く。|線[ろ]の上を走る。|家までの[ろ]地を歩く。,路,8def
地[きゅう]はとても大きい。|[きゅう]場に行く。|野[きゅう]を見に行く。,球,7403
[ゆう]名な話を聞く。|[ゆう]力な考えを出す。|お金が少し[あ]る。,有,6709
花を[う]える。|[しょく]物を育てる。|田[う]えをする。,植,690d
[ゆび]でさす。|先生が[し]名する。|地図を[さ]す。,指,6307
[かん]字を書く。|[かん]字を毎日書く。|新しい[かん]字を読む。,漢,6f22
紙の[おもて]に書く。|気持ちを[あらわ]す。|前で発[ひょう]する。,表,8868
このスープは[あじ]がいい。|意[み]を考える。|[み]方になる。,味,5473
[よ]定を決める。|[よ]感がする。|明日の天気を[よ]想する。,予,4e88
[みや]様のお話を聞く。|神[ぐう]へ行く。|[みや]の前に集まる。,宮,5bae
本の場所を[ととの]える。|[せい]数を習う。|つくえの上を[せい]理する。,整,6574
王[さま]の話を聞く。|[よう]子を見る。|同じ[よう]にする。,様,69d8
父の[し]事を手伝う。|母の[し]事を見る。|王に[つか]える。,仕,4ed5
[ぎん]行へ行く。|[ぎん]色に光る。|[ぎん]のスプーンを買う。,銀,9280
木に[み]がなる。|麦が[みの]る。|[じつ]力をつける。,実,5b9f
文[しょう]を書く。|[しょう]を分けて読む。|長い文[しょう]を作る。,章,7ae0
[さら]をきれいにする。|大きな[さら]を出す。|白い[さら]を見せる。,皿,76bf
[あい]手と話をする。|町の様[そう]を見る。|二人で[あい]手を決める。,相,76f8
十[びょう]数える。|[びょう]速で走る。|時計の[びょう]を見る。,秒,79d2
本を[かえ]す。|[へん]事を書く。|お金を[かえ]す。,返,8fd4
[ぜん]部食べる。|[ぜん]員が集まる。|[まった]く分からない。,全,5168
[よこ]に立つ。|道の[よこ]を歩く。|[よこ]の家を見る。,横,6a2a
中[おう]に立つ。|町の中[おう]で会う。|中[おう]に集まる。,央,592e
この薬は[にが]い。|[く]手な食べ物だ。|とても[くる]しい思いをする。,苦,82e6
やくそくを[まも]る。|子[も]りをする。|町を[まも]る。,守,5b88
きまりに[はん]する。|先生の考えに[はん]する。|みんなの意見に[はん]する。,反,53cd
[はたけ]で豆を作る。|田[はた]で仕事をする。|[はたけ]に水をやる。,畑,7551
この[ところ]がいい。|場[しょ]を決める。|住[しょ]を書く。,所,6240
[あぶら]で野さいをいためる。|石[ゆ]で車を動かす。|[あぶら]の絵をかく。,油,6cb9
車が[うご]く。|[どう]物を見る。|行[どう]に気をつける。,動,52d5
[きみ]はやさしい。|田中[くん]と遊ぶ。|[きみ]の名を書く。,君,541b
[きょ]年の夏を思い出す。|冬が[さ]る。|鳥が[さ]って行く。,去,53bb
[は]をみがく。|虫[ば]になる。|[し]科に行く。,歯,6b6f
[と]会に住む。|[と]合が悪い。|京の[みやこ]の話を聞く。,都,90fd
[りょう]手を広げる。|[りょう]親に話す。|[りょう]方を見る。,両,4e21
[へい]和な世の中。|[へい]気で歩く。|道が[たい]らだ。,平,5e73
[ち]が出る。|出[けつ]した。|赤い[ち]を見る。,血,8840
[まめ]を食べる。|大[ず]を育てる。|畑で[まめ]を作る。,豆,8c46
二[ばい]になる。|[ばい]数を習う。|三[ばい]の大きさ。,倍,500d
一[ちょう]目に住む。|とうふを一[ちょう]買う。|[ちょう]どいい大きさだ。,丁,4e01
[さか]を上る。|急な[さか]道。|[さか]を下りる。,坂,5742
