静[おか]という県に行く。|[おか]やまは西にある。|[おか]の上に立つ。,岡,5ca1
[まち]で買い物をする。|大きな[まち]に住む。|商店[ガイ]を歩く。,街,8857
教[カン]から水泳を習う。|長[カン]が話す。|神[カン]は神社にいる。,官,5b98
水道[カン]から水が出る。|血[カン]は体の中にある。|細い[くだ]に水を通す。,管,7ba1
北[キョク]はとても寒い。|南[キョク]に行きたい。|水泳を[きわ]める。,極,6975
[アン]内係に道をきく。|いい[アン]を考える。|図を見て[アン]を作る。,案,6848
[イ]者に見てもらう。|[イ]院で薬をもらう。|[イ]学を学ぶ人がいる。,医,533b
[イ]員会で話し合う。|クラスの[イ]員になる。|[イ]員長が前に立つ。,委,59d4
自分の[イ]見を話す。|出かける前に用[イ]をする。|道路で注[イ]する。,意,610f
学校で教[イク]を学ぶ。|花を[そだ]てる。|犬が大きく[そだ]つ。,育,80b2
矢[じるし]の方に進む。|目[じるし]をつける。|手紙に[イン]をおす。,印,5370
入[イン]して薬をのむ。|寺[イン]で手を合わせる。|[イン]長先生に会う。,院,9662
つなを[ひ]く。|[イン]力で物が落ちる。|来月[ひ]っこしをする。,引,5f15
[エイ]画を見に行く。|水面に山が[うつ]る。|星が池に[うつ]る。,映,6620
店を[いとな]む。|会社を経[エイ]する。|公[エイ]の公園で遊ぶ。,営,55b6
町が[さか]える。|これは光[エイ]なことだ。|店が[さか]えて人が多く来る。,栄,6804
百[エン]玉を出す。|[まる]い形をしている。|月が[まる]く見える。,円,5186
[オウ]様が国を治める。|[オウ]子はやさしい人だ。|女[オウ]の話を聞く。,王,738b
足[おと]が聞こえる。|漢字の[オン]読みを習う。|虫の[ね]を聞く。,音,97f3
[はな]をつむ。|[はな]火を見に行く。|学校に[カ]だんがある。,花,82b1
海で[かい]をひろう。|[かい]がらを集める。|大きな[かい]を見つける。,貝,8c9d
[がっ]校に行く。|新しいことを[まな]ぶ。|社会科見[ガク]に行く。,学,5b66
家で[やす]む。|今日は[キュウ]日だ。|昼[やす]みに遊ぶ。,休,4f11
赤い[たま]で遊ぶ。|目[たま]が大きい。|十円[だま]を出す。,玉,7389
車を点[ケン]する。|体を[ケン]査する。|父が車[ケン]に出す。,検,691c
人[ケン]を大切にする。|国の主[ケン]について学ぶ。|[ケン]力を持つ人がいる。,権,6a29
長い文[ショウ]を読む。|本の一[ショウ]を読む。|記[ショウ]をもらう。,章,7ae0
[きぬ]糸で服を作る。|[きぬ]織物は美しい。|白い[きぬ]のドレスを着る。,絹,7d5d
この石はとても[かた]い。|[かた]い決意を持つ。|[ケン]実な生き方をする。,堅,5805
[すこ]やかに育つ。|心も体も[すこ]やかだ。|[すこ]やかな子どもたちが遊ぶ。,健,5065
荷物を[ケン]査する。|漢字[ケン]定の勉強をする。|答えの[ケン]算をする。,検,967a
[ケイ]算をする。|時[ケイ]を見る。|重さを[はか]る。,計,8a08
家を[た]てる。|大きな[た]て物がある。|この国は昔[ケン]国された。,建,5efa
テレビを[み]る。|星が[み]える。|社会科[ケン]学に行く。,見,898b
明日は試[ケン]がある。|理科の実[ケン]をする。|よい経[ケン]をする。,験,9a13
この氷は[かた]い。|土を[かた]める。|水が[コ]体になる。,固,56fa
実験は成[コウ]した。|成[コウ]してうれしい。|みんなで力を合わせて成[コウ]する。,功,529f
犬が[す]きだ。|[コウ]物は何ですか。|静かな場所を[この]む。,好,597d
今日の天[コウ]はよい。|この地方の気[コウ]はよい。|天[コウ]が悪くなる。,候,5019
船で[コウ]海に出る。|[コウ]空の仕事をする。|船が朝早く出[コウ]する。,航,822a
