[こく]語のテストがある。|[くに]を守る仕事につく。|日本全[こく]から人が集まる。,国,56fd
この店は[ゆう]名だ。|妹に絵の才能が[あ]る。|[ゆう]名人に会いに行く。,有,6709
畑に花を[う]える。|[しょく]物を育てる。|学校に木を[う]える。,植,690d
新しい[かん]字をおぼえる。|[かん]字は昔の中国から来た。|医者が[かん]方薬をすすめる。,漢,6f22
一[れつ]にならんでまつ。|バスの[れつ]に入る。|前から二番目の[れつ]に立つ。,列,5217
[ろ]上で車に気をつける。|山の中の細い[ろ]を歩く。|通学[ろ]を親と歩く。,路,8def
今日の記[ろく]を書く。|新記[ろく]が出た。|音声を[ろく]音する。,録,9332
[いのち]を大切にする。|医者は人の[いのち]を助ける。|先生の[めい]れいをよくきく。,命,547d
[おう]ふくして発音を練習する。|バスが家と学校を[おう]ふくする。|人の[おう]来が多い道。,往,5f80
絵を[つく]る。|[さく]文を書く。|新しい歌を[さく]曲する。,作,4f5c
算[すう]の問題をとく。|りんごの[かず]をかぞえる。|人[すう]を調べる。,数,6570
[にし]の空が赤くなる。|お日様は[にし]にしずむ。|[せい]洋の服を着る。,西,897f
[ゆび]で字をなぞる。|先生の[し]示にしたがう。|[ゆび]わをはめる。,指,6307
気持ちを[ひょう]す。|図[ひょう]を見る。|じこく[ひょう]を作る。,表,8868
このスープは[あじ]がよい。|[み]方になって助ける。|カレーの[み]を確かめる。,味,5473
明日の天気を[よ]想する。|[よ]定を決める。|来週の[よ]習をする。,予,4e88
[きゅう]でんに人が集まる。|お[みや]まいりに行く。|[みや]という名の神社がある。,宮,5bae
つくえの上を[せい]理する。|みんなで[せい]列する。|道具を[ととの]える。,整,6574
[よう]服を買いに行く。|太平[よう]を船で進む。|西[よう]の絵をかざる。,洋,6d0b
木の葉が[お]ちる。|ボールが[らっ]下する。|石が谷に[お]ちる。,落,843d
先生に[れい]をする。|お[れい]の手紙を書く。|[れい]服を着て出かける。,礼,793c
漢字の[れん]習をする。|走る[れん]習をがんばる。|毎日[れん]習を重ねる。,練,7df4
祖父は[ろう]人だが力持ちだ。|山に[ろう]木が立つ。|[お]いた犬を大切にする。,老,8001
村の人たちが[ろう]どうして田を作る。|母の苦[ろう]を知る。|山道を歩くのに[ろう]力がいる。,労,52b4
年れいで入場を[げん]定する。|入る人数を[かぎ]る。|力には[かぎ]りがある。,限,9650
住[きょ]を移す。|静かに[い]る。|家の人といっしょに[い]る。,居,5c45
学校に所[ぞく]する。|金[ぞく]で作った物さし。|友だちと同じチームに所[ぞく]する。,属,5c5e
木の[みき]に登る。|[かん]部が集まる。|新[かん]線で旅に出る。,幹,5e79
[じょ]文を書く。|答えを順[じょ]よく書く。|物事には順[じょ]がある。,序,5e8f
声を[は]り上げる。|遠くまで[は]り出す。|父は仕事で出[ちょう]する。,張,5f35
[とく]用の道具を持つ。|人[とく]のある人を目指す。|道[とく]の話を聞く。,徳,5fb3
医者を[こころざ]す。|強い意[し]を持つ。|大きな[し]を立てる。,志,5fd7
先生の声に[おう]じる。|[おう]えんの声が高い。|算数の[おう]用問題をやる。,応,5fdc
[こころよ]い風がふく。|[かい]速で走る馬を見る。|[かい]晴の日に出かける。,快,5feb
女[せい]と男[せい]がいる。|花にはいろいろな[せい]しつがある。|生き物にはそれぞれ[せい]しつがある。,性,6027
友の[じょう]を大切にする。|表[じょう]をよく見る。|人[じょう]味あふれる話。,情,60c5
心の状[たい]を聞く。|大きな事[たい]になる。|実[たい]を調べる。,態,614b
早おきの習[かん]をつける。|新しい学校に[な]れる。|水泳に[な]れてきた。,慣,6163
新しい[ぎ]じゅつをおぼえる。|体そうの新しい[わざ]を練習する。|球[ぎ]大会に出る。,技,6280
手をふって友だちを[まね]く。|みんなを[しょう]集する。|家に友だちを[まね]く。,招,62db
