品物の[か]ちを高める。|[ぶっか]が上がる。|定[か]で売られている。,価,4fa1
[き]本を学ぶ。|[き]そを固める。|山のふもとに[き]地がある。,基,57fa
[こう]義を聞く。|[こう]習会に行く。|[こう]演会に行く。,講,8b1b
[えき]体を調べる。|けがをすると血[えき]が出る。|水よう[えき]を作る。,液,6db2
人や車が[おう]来する。|右[おう]左[おう]する。|町の中を[おう]来する人が多い。,往,5f80
[おん]師に会う。|[おん]がえしをする。|[おん]人に感しゃする。,恩,6069
年[が]じょうを書く。|しゅく[が]会をひらく。|[が]正の文字を書く。,賀,8cc0
[ひさ]しぶりに会う。|[きゅう]えんの平和をねがう。|たい[きゅう]性を調べる。,久,4e45
[あっ]しゅくする。|気[あつ]を調べる。|[あつ]力をかける。,圧,5727
新しい町へ[うつ]る。|[い]どう教室に行く。|せき任を[い]てんする。,移,79fb
げん[いん]を調べる。|[いん]しゅうを断ち切る。|原[いん]を知る。,因,56e0
[えい]遠の友じょう。|[なが]いあいだ会えない。|[えい]住することに決める。,永,6c38
お店を[いとな]む。|けい[えい]する。|村が[こう]えいのプールを作る。,営,55b6
[えい]生に気をつける。|しゅ[えい]さんにあいさつする。|月の[えい]星について学ぶ。,衛,885b
主人公を[えん]じる。|しゅつ[えん]する。|[えん]技をする。,演,6f14
へん事に[おう]とうする。|[おう]えんする。|てき[おう]する。,応,5fdc
[さくら]の花がさく。|春に[さくら]を見に行く。|[さくら]色のきれいな花。,桜,685c
入場[か]をはらう。|きょ[か]をもらう。|[か]のうにする。,可,53ef
[か]面をかぶる。|[か]せつを立てる。|[か]の話をする。,仮,4eee
大きな[かわ]のそば。|[か]口近くの町。|夜空に[ぎん]がが見える。,河,6cb3
月日が[す]ぎる。|[か]この思い出を話す。|バスがつう[か]する。,過,904e
こころ[よ]い返事をする。|[かい]てきなへやにいる。|[かい]速でゴールする。,快,5feb
なぞを[と]く。|り[かい]する。|[かい]答を見る。,解,89e3
正[かく]な人になる。|[ごう]かくする。|価[かく]を調べる。,格,683c
[たし]かめる。|[かく]実に勝つ。|正[かく]な数を書く。,確,78ba
[がく]ぶちに入れる。|きん[がく]を調べる。|[ひたい]に手を当てる。,額,984d
しゅう[かん]しを読む。|本を[かん]こうする。|朝[かん]を読む。,刊,520a
木の[みき]を切る。|しん[かん]線で旅に出る。|会社の[かん]部になる。,幹,5e79
しゅう[かん]にする。|[な]れる。|しゅう[かん]を守る。,慣,6163
[がん]科に行く。|め[がね]をかける。|きん[がん]になる。,眼,773c
[よ]り道をする。|[き]ふをする。|[き]しゅくする。,寄,5bc4
[き]そくを守る。|じょう[ぎ]で線を引く。|[き]ぼが大きい。,規,898f
[ぎ]じゅつを学ぶ。|とく[ぎ]を見せる。|えん[ぎ]をする。,技,6280
講[ぎ]を聞く。|正[ぎ]の味方になる。|[ぎ]理を大切にする。,義,7fa9
じゅん番が[ぎゃく]になる。|さか[さま]にする。|[ぎゃく]立ちをする。,逆,9006
[きゅう]友に会う。|新[きゅう]の校しゃを比べる。|[きゅう]せいの学校に通う。,旧,65e7
[い]どころを知る。|[きょ]住する。|みんなが一列に[い]ならぶ。,居,5c45
入室[きょ]可のふだを見る。|[ゆる]す。|[きょ]可をもらう。,許,8a31
こっ[きょう]をこえる。|かん[きょう]を守る。|[さかい]目を調べる。,境,5883
へい[きん]を出す。|きん[とう]に分ける。|きん[いつ]なあつかいをする。,均,5747
