車を点[ケン]する。|体を[ケン]査する。|父が車[ケン]に出す。,検,691c
年れいで入場を[げん]定する。|入る人数を[かぎ]る。|力には[かぎ]りがある。,限,9650
月が空に[あらわ]れる。|買い物で[げん]金をはらう。|絵で気持ちを[ひょう]げんする。,現,73fe
みんなの数が[へ]る。|食べる回数を[へ]らす。|去年より雪の日が[げん]少した。,減,6e1b
交通[じ]こに気をつける。|[こ]意に物を落とす。|雨[ゆえ]に試合は中止になる。,故,6545
これは[こ]人の意見だ。|りんごを一[こ]食べた。|全部で何[こ]あるか数える。,個,500b
動物を保[ご]する。|森を保[ご]する。|弁[ご]士の話を聞く。,護,8b77
この薬はよく[き]く。|練習の[こう]果が出てきた。|このきっぷは今日まで有[こう]だ。,効,52b9
この本は[あつ]い。|[あつ]紙で箱を作る。|祖父は温[こう]な人だ。,厚,539a
畑を[たがや]す。|昔の[のう]こうの様子を学ぶ。|広い[こう]地で米を作る。,耕,8015
船で[コウ]海に出る。|[コウ]空の仕事をする。|船が朝早く出[コウ]する。,航,822a
山で[こう]石をほり出す。|この地方には[こう]山が多い。|鉄[こう]石から鉄を作る。,鉱,9271
気に[かま]わないで前に進む。|新しい家を[かま]える。|作文の[こう]成を考える。,構,69cb
生き物に[きょう]味を持つ。|絵をかくことに[きょう]味がある。|みんなが[きょう]味を持つ話をする。,興,8208
[こう]義を聞く。|[こう]習会に行く。|[こう]演会に行く。,講,8b1b
先生に結果を報[こく]する。|新聞に広[こく]が出ていた。|別れを[つ]げる。,告,544a
絵の具を[ま]ぜる。|休日はバスが[こ]む。|水と油を[こん]合させる。,混,6df7
町のようすを[ちょう]さする。|体を[けん]さする。|学校で[こう]さがある。,査,67fb
[さい]来週にまた集まろう。|昔の友だちと[さい]会した。|[ふたた]び雨になった。,再,518d
[か]さいにそなえて練習をする。|地しんは[てん]さいの一つだ。|大雨は村に[わざわ]いをもたらす。,災,707d
父の友人夫[さい]が家に来た。|あの人の[つま]は先生だ。|祖父と祖母は仲の良い夫[さい]だ。,妻,59bb
森できのこを[と]る。|会社が新しい人を[さい]用する。|先生がテストを[さい]点する。,採,63a1
国[さい]大会に行く。|じっ[さい]にやってみる。|大切な[とき]だ。,際,969b
[げん]ざいの天気を調べる。|[ざい]たくして休む。|会長として[ざい]にんする。,在,5728
[ざい]さんを管理する。|さいふを落とす。|文化[ざい]を守る。,財,8ca1
うそをつくのは[つみ]だ。|犯[ざい]がない町にする。|[ざい]人をつかまえる。,罪,7f6a
アリを[ころ]さないように気をつける。|[さっ]虫スプレーで虫をおいはらう。|畑の虫を[さつ]虫する薬をまく。,殺,6bba
[ざっ]しを読む。|ふく[ざつ]な問題を考える。|[ざつ]だんをする。,雑,96d1
すっぱい[さん]味がする。|[さん]そがある。|[さん]みりょうを入れる。,酸,9178
これに[さん]せいする。|[さん]どうする。|神様を[さん]美する。,賛,8cdb
力[し]がすもうを取る。|力[し]は体が大きい。|テレビで力[し]を見る。,士,58eb
家の仕事を[ささ]える。|会社の[し]社が新しくできる。|銀行の[し]店に行く。,支,652f
歴[し]を学ぶ。|世界[し]の本を読む。|歴[し]の勉強をする。,史,53f2
医者を[こころざ]す。|強い意[し]を持つ。|大きな[し]を立てる。,志,5fd7
木の[えだ]を切る。|[えだ]豆を食べる。|小[えだ]を集めて遊ぶ。,枝,679d
きょう[し]になる。|い[し]の話を聞く。|[し]はんとして教える。,師,5e2b
[し]金を集める。|[し]しつがある子だ。|[し]げんを大切にする。,資,8cc7
犬を[か]う。|[し]いくがかりになる。|うさぎを[し]いくする。,飼,98fc
地図で道を[しめ]す。|画面に[ひょう]じする。|先生の[し]じを聞く。,示,793a
[に]る。|るい[じ]した形になる。|そっくりに[に]せる。,似,4f3c
新しい知[しき]を学ぶ。|意[しき]がはっきりする。|常[しき]を持つ。,識,8b58
[しつ]問する。|品[しつ]がよい。|正[しつ]を知る。,質,8cea
新しい[こう]しゃで学ぶ。|[いな]かのおじいさんの家に行く。|[ぎゅう]しゃで牛の世話をする。,舎,820e
母に感[しゃ]する。|わるいことをして[あやま]る。|先生に[しゃ]罪の手紙を書く。,謝,8b1d
神様から力を[さず]かる。|父は大学で[じゅ]教をしている。|先生が答えを[さず]ける。,授,6388
道具を[しゅう]理する。|学[しゅう]する。|[しゅう]学旅行に行く。,修,4fee
考えを[の]べる。|記[じゅつ]する。|意見を[の]べる。,述,8ff0
新しい[ぎ]じゅつを学ぶ。|[び]じゅつが好きで絵をかく。|けがをして[しゅ]じゅつをする。,術,8853
大会の[じゅん]決勝で勝つ。|力の[すい]じゅんを上げる。|クラブの[じゅん]会員として登録する。,準,6e96
[じょ]文を書く。|答えを順[じょ]よく書く。|物事には順[じょ]がある。,序,5e8f
