[しゅっ]ちょうに行く。|気を[は]る。|[ちょう]本人になる。,張,5f35
旅の日[てい]を決める。|山までの道のりは遠い[ほど]だ。|しごとの過[てい]を確かめる。,程,7a0b
[てき]当な大きさに切る。|[てき]性を考える。|[てき]切な答えを書く。,適,9069
[どう]メダルを取る。|[どう]線をつなぐ。|町に青[どう]がある。,銅,9285
[みちび]く。|先生が[し]どうする。|新しいやり方を[どう]入する。,導,5c0e
[とく]をつむ。|道[とく]について考える。|人[とく]者になる。,徳,5fb3
[どく]りつする。|[ひと]りで留守番をする。|[どく]自のやり方で考える。,独,72ec
せき[にん]を持つ。|し[にん]される。|仕事を[まか]せる。,任,4efb
[のう]力を高める。|さい[のう]がある。|[ほん]のうについて学ぶ。,能,80fd
紙を[やぶ]る。|服が[やぶ]れる。|記録を[は]する。,破,7834
[はん]人をつかまえる。|[はん]罪を防ぐ。|あやまちを[おか]す。,犯,72af
さい[ばん]をする。|ひょう[ばん]がいい。|[はん]こをおす。,判,5224
新しい本が[しゅっ]ぱんされる。|[はん]画を作る。|この本の[しょ]はんは古い。,版,7248
二つを[くら]べる。|[ひ]かくする。|[ひ]りつを調べる。,比,6bd4
土地が[こ]える。|畑を[こ]やす。|[こ]やしをまく。,肥,80a5
[ひ]常口を調べる。|[ひ]常に大切だ。|[ひ]じょうしきな考えだ。,非,975e
動物を保[ご]する。|森を保[ご]する。|弁[ご]士の話を聞く。,護,8b77
米[だわら]を見る。|土[ひょう]を作る。|[たわら]の形を知る。,俵,5028
[ひょう]判がいい。|作品を[ひょう]価する。|先生が作文を[ひょう]する。,評,8a55
[まず]しい人を助ける。|[ひん]こんをなくす。|[ひん]けつになる。,貧,8ca7
[ぬの]を切る。|毛[ふ]をしく。|[ふ]きんでふく。,布,5e03
しゅ[ふ]の仕事をする。|かん[ご]ふさんに会う。|ふう[ふ]で出かける。,婦,5a66
山の[ふもと]に住む。|[ろく]の村を歩く。|山[ろく]にある町へ行く。,麓,9e93
[ふく]雑な問題を解く。|[ふく]数の答えを書く。|じゅう[ふく]する。,複,8907
[ゆき]がふる。|白い[ゆき]がたくさんふる。|[せつ]げんを歩く。,雪,96ea
毛糸で[あ]む。|文集を[へん]集する。|長[へん]の物語を読む。,編,7de8
お[べん]当を持っていく。|[べん]護士になる。|花[べん]がひらく。,弁,5f01
体を[たも]つ。|[ほ]けんに入る。|[ほ]育園に通う。,保,4fdd
お[はか]まいりに行く。|[ぼ]地に行く。|せい[ぼ]の日をむかえる。,墓,5893
[ほう]こくする。|天気[よ]ほうを聞く。|[じょう]ほうを集める。,報,5831
米が[ほう]作になる。|心が[ゆた]かになる。|森が[ゆた]かにしげる。,豊,8c4a
[ぼう]犯ベルを鳴らす。|火事を[ふせ]ぐ。|[よ]ぼうする。,防,9632
他の国と[ぼう]えきをする。|[ぼう]えきで物を売り買いする。|二つの国が[ぼう]えきをする。,貿,8cbf
道に[まよ]う。|人に[めい]わくをかける。|[めい]路に入る。,迷,8ff7
[わた]でできたふとん。|[も]めんの服を着る。|[めん]花畑を見学する。,綿,7dbf
[ゆ]送する。|[ゆ]入品を調べる。|他の国へ[ゆ]出する。,輸,8f38
少し[あま]る。|[よ]分なものを減らす。|[よ]計なことを考える。,余,4f59
お金を[た]める。|[ちょ]金する。|少しずつ[ちょ]金する。,貯,8caf
本を友に[か]す。|図書館で本を[か]し出す。|お金を[たい]借する。,貸,8cb8
りょ[ひ]を計算する。|学[ひ]をはらう。|水を消[ひ]する。,費,8cbb
[し]金を集める。|[し]りょうを調べる。|水や森は[し]げんだ。,資,8cc7
みんなが[さん]せいする。|意見に[さん]どうする。|友の絵を[さん]美する。,賛,8cdb
[しょう]品をもらう。|コンテストで入[しょう]する。|[しょう]状をもらう。,賞,8cde
[こう]海に出る。|[こう]空写真をとる。|船が[しゅっ]こうする朝を見る。,航,822a
[いま]何時かな。|[こん]月の予定を話す。|[こん]年をふり返る。,今,4eca
[だん]体で行動する。|みんなで[だん]けつする。|[しゅう]だんで動く。,団,56e3
家の周[い]をそうじする。|まわりを[かこ]む。|畑を[かこ]むかきねを作る。,囲,56f2
数が[へ]る。|食べる回数を[へ]らす。|去年より[げん]少した。,減,6e1b
木の高さを[はか]る。|天気を[よ]そくする。|体温を[そく]定する。,測,6e2c
主人公を[えん]じる。|[えん]技をする。|みんなの前で[えん]そうする。,演,6f14
