大人になって[どく]立して仕事をする。|[ひと]りで留守番をする。|[どく]自のやり方で問題を考える。,独,72ec
せき[にん]を持つ。|し[にん]される。|仕事を[まか]せる。,任,4efb
たき火が[も]える。|落ち葉を[も]やす。|ごみを[も]やす場所を見学する。,燃,71c3
走る[のう]力を高める。|絵の[さい]のうがある。|動物の[ほん]のうについて学ぶ。,能,80fd
紙を[やぶ]る。|服が[やぶ]れる。|花びんが[は]損する。,破,7834
[はん]人をつかまえる。|[はん]罪をふせぐ。|大きなあやまちを[おか]す。,犯,72af
さい[ばん]をする。|ひょう[ばん]がいい。|[はん]こをおす。,判,5224
新しい本が[しゅっ]ぱんされる。|絵の勉強で[はん]画を作る。|この本の[しょ]はんは古い。,版,7248
二つの絵を[くら]べる。|兄と力を[くら]べる。|去年と今年の記録を[くら]べる。,比,6bd4
土地が[こ]える。|畑を[こ]やす。|[こ]やしを土に混ぜる。,肥,80a5
[ひ]常口を調べる。|[ひ]常に大切だ。|[ひ]じょうしきな考えだ。,非,975e
りょ[ひ]を計算する。|学[ひ]をはらう。|水を消[ひ]する。,費,8cbb
遠足の準[び]をする。|地しんに[そな]えて水を用意する。|学校の設[び]が新しくなった。,備,5099
[ひょう]判がいい。|作品を[ひょう]価する。|先生が作文を[ひょう]する。,評,8a55
[まず]しい人を助ける。|[ひん]こんをなくす。|[ひん]けつになる。,貧,8ca7
[ぬの]を切る。|毛[ふ]をしく。|[ふ]きんでふく。,布,5e03
しゅ[ふ]の仕事をする。|かん[ご]ふさんに会う。|ふう[ふ]で出かける。,婦,5a66
昔の[ぶ]士は刀を持っていた。|[む]者人形をかざる。|[ぶ]道場で練習する。,武,6b66
漢字を[ふく]習する。|病気が回[ふく]した。|駅までの往[ふく]に一時間かかる。,復,5fa9
[ふく]雑な問題を解く。|[ふく]数の答えを書く。|じゅう[ふく]する。,複,8907
奈良の大[ぶつ]を見に行った。|寺に古い[ぶつ]像があった。|[ほとけ]様を大切にする心を持つ。,仏,4ecf
春は花[ふん]が飛ぶ季節だ。|小麦[こ]でパンを作る。|皿が[こな]ごなにわれた。,粉,7c89
毛糸でマフラーを[あ]む。|文集を[へん]集する。|[ちょう]へんの物語を読む。,編,7de8
お[べん]当を持っていく。|[べん]護士になる。|花[べん]がひらく。,弁,5f01
体を[たも]つ。|[ほ]けんに入る。|[ほ]育園に通う。,保,4fdd
お[はか]まいりに行く。|[ぼ]地に行く。|せい[ぼ]の日をむかえる。,墓,5893
[ほう]こくする。|天気[よ]ほうを聞く。|[じょう]ほうを集める。,報,5831
米が[ほう]作になる。|心が[ゆた]かになる。|森が[ゆた]かにしげる。,豊,8c4a
[ぼう]犯ベルを鳴らす。|火事を[ふせ]ぐ。|[よ]ぼうする。,防,9632
他の国と[ぼう]えきをする。|[ぼう]えきで物を売り買いする。|二つの国が[ぼう]えきをする。,貿,8cbf
犬が[あば]れる。|[ぼう]風で木がたおれる。|[ぼう]力はいけないことだ。,暴,66b4
高い山[みゃく]を地図で見る。|血を送る[どう]みゃくについて学ぶ。|山[みゃく]の写真をとる。,脈,8108
学校に行くのは子どもの義[む]だ。|母は会社で事[む]の仕事をしている。|委員長を[つと]める。,務,52d9
ゲームに[む]中になる。|昨夜おもしろい[ゆめ]を見た。|大きな[ゆめ]を持つ。,夢,5922
道に[まよ]う。|人に[めい]わくをかける。|[めい]路に入る。,迷,8ff7
[わた]でできたふとんはあたたかい。|[も]めんの服を着る。|[めん]花畑を見学する。,綿,7dbf
[ゆ]送する。|[ゆ]入品を調べる。|他の国へ[ゆ]出する。,輸,8f38
少し[あま]る。|[よ]分なものを減らす。|[よ]計なことを考える。,余,4f59
手紙の内[よう]を読む。|この[よう]器に水を入れる。|計算は[よう]易にできた。,容,5bb9
名前を[りゃく]して書く。|学校までの[りゃく]図をかく。|手紙の初めに「[ぜん]りゃく」と書く。,略,7565
[る]守番をする。|遠い国に[りゅう]学する。|きれいな花が目に[と]まる。,留,7559
国の[りょう]土を守る。|大統[りょう]について調べる。|仕事の要[りょう]をつかむ。,領,9818
学校で[れき]史を学ぶ。|先生の経[れき]を聞く。|昔から伝わる[れき]史を大切にする。,歴,6b74
