食べ過ぎて[い]が痛くなった。|食べ物が[い]の中で消化される。|医者に[い]の検査をしてもらう。,胃,80c3
二つの絵の[こと]なるところを探す。|兄と弟は性格が[こと]なる。|今年の夏は[い]常な暑さだ。,異,7570
むかしの人がのこしたものを[い]せきという。|かぞくへの思いを手紙に書いて[ゆい]ごんという。|祖父からもらった時計を[い]品として大切にする。,遺,9070
夜空を見上げて[う]ちゅうについて考える。|ロケットが[う]ちゅうに向かって進む。|星や月がある[う]ちゅうは広い。,宇,5b87
川の水面に山が[うつ]る。|新しい[えい]画をみんなで見に行く。|窓ガラスに月の光が[うつ]る。,映,6620
遠足の日が雨で[の]びる。|休みを少し[の]ばしてもらう。|バスが[えん]着した。,延,5ef6
道に[そ]って木が並んでいる。|海[えん]の町に住んでいる。|川に[そ]って歩く。,沿,6cbf
お世話になった先生に[おん]返しをする。|育ててくれた親に[おん]を感じる。|[おん]師への手紙を書く。,恩,6069
[われ]われは力を合わせて練習する。|自[が]を出さずに話し合う。|[わ]がままを直す。,我,6211
たき火の後に[はい]が出る。|[はい]色の空を見上げる。|たばこの[はい]をすてる。,灰,7070
写真を[かく]大して見る。|学校の花だんを[かく]大する。|虫めがねで文字を[かく]大する。,拡,62e1
内[かく]は国の仕事を決める。|[かく]りょうが国のために動く。|天守[かく]という高い建物を見る。,閣,9523
会社の[かぶ]を買う人がいる。|木を切った後に[かぶ]が土から出ている。|[かぶ]しき会社について調べる。,株,682a
洗たく物を[ほ]す。|潮が引いて[かん]潮になる。|海で[ひ]がたに出て貝をさがす。,干,5e72
店の前に[かん]板が立っている。|入院した人を[かん]護する。|大きな[かん]板が町にある。,看,770b
この問題は[かん]たんに解ける。|[かん]たんなやり方で伝える。|手紙を[かん]潔に書く。,簡,7920
[あぶ]ない道を注意して歩く。|[き]けんな場所には近づかない。|川で泳ぐのは[あぶ]ない。,危,5371
オーケストラで指[き]をする人がいる。|実力を発[き]する。|大会で自分の力を発[き]する。,揮,63ee
命は[とうと]いものだ。|[き]重な本を大切にあつかう。|図書館にある[き]重な本を読む。,貴,8cb4
新しい空気を[す]う。|ストローでジュースを[す]う。|植物は根から水を[きゅう]収する。,吸,5438
神様にお花を[そな]える。|子[ども]たちが公園で遊ぶ。|大切な情報を提[きょう]する。,供,4f9b
[むね]に手を当てて考える。|発表の前は[むね]がどきどきする。|ど[きょう]をもって発表する。,胸,80f8
お年寄りを[うやま]う。|先生に[けい]語で話す。|目上の人を[うやま]う気持ちを持つ。,敬,656c
[けい]官の仕事を見学する。|[けい]笛が鳴る音を聞く。|台風に気をつけるよう[けい]報が出る。,警,8b66
[きぬ]の糸で服を作る。|この布は[きぬ]でできている。|[きぬ]のように白くてなめらかな生地。,絹,7d5d
国の大切な決まりを[けん]ぽうという。|[けん]ぽうについて社会で学ぶ。|国民が守るべき[けん]ぽうがある。,憲,61ea
先生の指導は[きび]しい。|[おごそ]かなしきが行われる。|練習を[きび]しく行う。,厳,5393
自分[こ]のことをよく知る。|自[こ]しょうかいで名前を伝える。|[おのれ]の力を信じて進む。,己,5df1
計算を[あやま]る。|[ご]解しないように話し合う。|字を書き[あやま]える。,誤,8aa4
テレビで皇[ごう]様のニュースを見る。|昔の物語に皇[ごう]が登場する。|皇[ごう]というよび方を知る。,后,540e
この地[いき]は雪が多い。|住んでいる地[いき]について調べる。|台風が来る区[いき]を確かめる。,域,57df
布を体に[ま]きつける。|この本の下[かん]を読む。|台風で木の枝が[ま]きあがる。,巻,5dfb
友だちの話を[うたが]う。|[ぎ]問に思ったことを先生に聞く。|おかしいと[うたが]いを持つ。,疑,755d
遠くはなれた故[きょう]を思う。|故[きょう]の父母に手紙を書く。|何年も故[きょう]に帰っていない。,郷,90f7
父は毎日会社に[つと]めている。|バスで通[きん]する人が多い。|仕事に[つと]める人を見る。,勤,52e4
体を動かして[きん]肉をきたえる。|一[すじ]の光が窓から入る。|話の[すじ]を整理して伝える。,筋,7b4b
生き物の[けい]統について学ぶ。|家[けい]図を作って調べる。|この本は理[けい]の話が多い。,系,7cfb
学校で[げき]を発表する。|演[げき]部に入って練習する。|おもしろい[げき]を見に行く。,劇,5287
雨が[はげ]しく降る。|試合を見て感[げき]する。|波が[はげ]しく岸に当たる。,激,6fc0
地面に[あな]をほって木を植える。|くつ下に[あな]が開く。|山に大きな[あな]がある。,穴,7a74
