親[こう]行な子どもになりたい。|おじいさんに[こう]行する。|やさしい[こう]行者だ。,孝,5b5d
天[のう]陛下が話される。|[こう]后様の写真を見る。|[こう]居のそばを歩く。,皇,7687
[こう]茶が好きだ。|口[べに]をつける。|[こう]白のチームに分かれる。,紅,7d05
雨が[ふ]る。|バスを[お]りる。|気温が[こう]下する。,降,964d
この[はがね]はとても固い。|[こう]鉄でできた道具を持つ。|[はがね]のように強い心を持つ。,鋼,92fc
木に名前を[きざ]む。|出発の時[こく]を確かめる。|深[こく]な問題だ。,刻,523b
米は大切な[こく]物だ。|この店では雑[こく]米を売っている。|秋に[こく]物がたくさんとれる。,穀,7fa0
魚の[ほね]に気をつける。|体の中には[ほね]がたくさんある。|[こっ]格を大切にする。,骨,9aa8
道に迷って[こま]る。|[こん]難な問題を解く。|雨で[こま]ってしまった。,困,56f0
海岸で[すな]あそびをする。|[さ]糖を入れてあまくする。|大雨のあと土[しゃ]くずれに気をつける。,砂,7802
いすに[すわ]る。|星[ざ]の絵を見る。|正[ざ]して話を聞く。,座,5ea7
仕事が[す]んだ。|買い物を[す]ませる。|経[さい]について学ぶ。,済,6e08
[さい]判官が話を聞く。|正しく物事を[さば]く。|布を[た]って服を作る。,裁,88c1
事故を防ぐ[さく]を考える。|政[さく]について話し合う。|よい[さく]を思いつく。,策,7b56
本を三[さつ]買う。|この[さっ]子を読んでください。|図書館で本を五[さつ]借りる。,冊,518a
[かいこ]を育てて糸をとる。|[かいこ]はまゆを作る。|[かいこ]は白くて小さい虫だ。,蚕,8695
[し]急のお知らせがある。|ゴールに[いた]るまで走る。|春に[いた]って花がさく。,至,81f3
[わたし]は毎朝走る。|[わたくし]ごとですが失礼します。|[し]立の学校に通う。,私,79c1
母の後ろ[すがた]を見る。|[し]勢を正して立つ。|遠くから友の[すがた]が見える。,姿,59ff
[し]力を検査する。|遠くを[し]界に入れる。|安全を重[し]する。,視,8996
歌の[し]を書く。|名[し]を勉強する。|品[し]について学ぶ。,詞,8a5e
雑[し]を読む。|週刊[し]を買う。|本や[し]を読むのが好きだ。,誌,8a8c
[じ]石で鉄を引きつける。|[じ]石にはN極とS極がある。|[じ]気について調べる。,磁,78c1
矢を[い]る。|光が反[しゃ]する。|ロケットを発[しゃ]する。,射,5804
ごみを[す]てる。|四[しゃ]五入して答えを出す。|いらない物を[す]てて片づける。,捨,6368
[しゃく]八の音を聞く。|縮[しゃく]地図を見る。|一[しゃく]は三十センチくらいだ。,尺,5c3a
[わか]い先生が来る。|[じゃく]年者を応えんする。|[じゃっ]干つかれたようだ。,若,82e5
大きな[じゅ]木がある。|街路[じゅ]の下を歩く。|森には多くの[じゅ]木がある。,樹,6a39
お金を[おさ]める。|ごみを[しゅう]集する。|税金を[おさ]める。,収,53e4
[しゅう]教について学ぶ。|[そう]家のお祝いに行く。|世界には多くの[しゅう]教がある。,宗,5b97
仕事に[つ]く。|高校を出て[しゅう]職する。|委員長に[しゅう]任する。,就,5c31
公[しゅう]トイレを見つける。|多くの民[しゅう]が集まる。|大[しゅう]の前で話す。,衆,8846
先生の指示に[したが]う。|ルールに服[じゅう]する。|[じゅう]来のやり方を守る。,従,5f93
[たて]書きで日記を書く。|南北に[じゅう]断する道を歩く。|[たて]と横の長さを測る。,縦,7e2b
セーターが[ちぢ]む。|予算を[しゅく]小する。|地図の[しゅく]尺を確かめる。,縮,7e2e
くだものが[う]れる。|[じゅく]語の意味を調べる。|[じゅく]練した技を見せる。,熟,719f
[じゅん]白なドレスを着る。|[じゅん]真な心を持つ。|この金は[じゅん]金だ。,純,7d14
ごみを[しょ]理する。|むずかしいことに[しょ]する。|いらない物を[しょ]分する。,処,51e6
消防[しょ]を見学する。|手紙に[しょ]名する。|部[しょ]ごとに集まる。,署,7f72
世界[しょ]国を旅する。|[しょ]君に伝える。|[しょ]事情を考える。,諸,8af8
リストから[のぞ]く。|[じょ]雪車が道を作る。|十を二で[じょ]算する。,除,9664
[しょう]来の仕事を考える。|サッカー部の主[しょう]になる。|[しょう]来は先生になりたい。,将,5c06
ひざに[きず]がある。|心が[いた]む。|木のみきに[きず]がついた。,傷,505b
車が故[しょう]する。|目[ざわ]りな物をかたづける。|[しょう]子を開ける。,障,969c
大きな[しろ]を見学する。|[じょう]下町を歩く。|昔の[しろ]あとを訪ねる。,城,57ce
いもを[む]す。|やかんから[じょう]気が出る。|今日は[む]し暑い。,蒸,84b8
時計の[はり]を見る。|学校の方[しん]を決める。|服に[はり]で糸を通す。,針,91dd
[じん]徳天皇について学ぶ。|[に]おう様のお寺に行く。|[じん]義を重んじる。,仁,4ec1
木の枝が[た]れる。|[すい]直な線を引く。|棒を地面に[すい]直に立てる。,垂,5782
友を委員長に[お]す。|答えを[すい]理する。|新しい本を[すい]せんする。,推,63a8
