あの人は[せい]実な人だ。|[まこと]にありがとうございます。|王に忠[せい]をちかう。,誠,8aa0
[した]で味を感じる。|毒[ぜつ]な言葉を言わない。|あついので[した]を出す。,舌,820c
新しい商品をテレビで[せん]伝する。|開会を[せん]げんする。|独立[せん]げんについて学ぶ。,宣,5ba3
父はスポーツ医学が[せん]門だ。|この道具は実験[せん]用だ。|コーチが[せん]属で指導する。,専,5c02
山の中に[いずみ]がある。|みんなで温[せん]に行く。|[いずみ]の水はすんでいる。,泉,6cc9
手を[あら]う。|毎朝[せん]面所で歯をみがく。|母が服を[せん]たくする。,洗,6d17
布を赤く[そ]める。|夕日で空が赤く[そ]まる。|学校で布の[せん]色を習う。,染,67d3
むかしのお金を金[せん]と言う。|小[ぜに]をさいふに入れる。|古い[ぜに]を集める。,銭,92ad
物事の[ぜん]悪を考える。|親[ぜん]試合をする。|困っている人を助けるのは[ぜん]行だ。,善,5584
[かな]でる音を聞く。|音がく会でピアノを演[そう]する。|みんなで合[そう]する。,奏,594f
[まど]を開ける。|車[そう]から山が見える。|むかしの同[そう]会に行く。,窓,7a93
学校の[そう]立を祝う日がある。|物語を[そう]作する。|新聞を[そう]刊する。,創,5275
学校には正しい服[そう]で行く。|きれいに[よそお]う。|母は洋[そう]が似合う。,装,88c5
地[そう]の重なりを調べる。|町に高[そう]ビルが立つ。|地面に断[そう]が見える。,層,5c64
毎朝ラジオ体[そう]をする。|人形を[あやつ]る。|きかいを[そう]作する。,操,64cd
米を[くら]にしまう。|食べ物を貯[ぞう]する。|図書館には多くの[ぞう]書がある。,蔵,8535
走ると心[ぞう]がどきどきする。|内[ぞう]は体の中にある。|心[ぞう]の音を聞く。,臓,81d3
食べ物を保[ぞん]する。|宇宙人が[そん]在するか考える。|古い建物が今も現[そん]する。,存,5b58
先生を[そん]敬する。|命は[とうと]い。|みんなの考えを[そん]重する。,尊,5c0a
病院を[たい]院する。|試合の後[たい]をする。|後ろに[しりぞ]く。,退,9000
学校から帰[たく]する。|自[たく]で勉強する。|この町には住[たく]が多い。,宅,5b85
係を[たん]当する。|みこしを[かつ]ぐ。|重い荷物は体に負[たん]がかかる。,担,62c5
落とし物を[さが]す。|森を[たん]検する。|手で中を[さぐ]る。,探,63a2
友だちの[たん]生日を祝う。|赤ちゃんが[たん]生する。|この画家は今から百年前に生[たん]した。,誕,8a95
[だん]々空が明るくなる。|よい手[だん]を考える。|品物の値[だん]を調べる。,段,6bb5
春になって[あたた]かくなる。|温[だん]な気候の国に行く。|赤は[だん]色だ。,暖,6696
この品物の[ね]段は高い。|自分の[あたい]を大切にする。|実験の数[ち]を記録する。,値,5024
宇[ちゅう]について学ぶ。|体操で[ちゅう]返りをする。|ボールが[ちゅう]にうく。,宙,5b99
犬は[ちゅう]実な動物だ。|[ちゅう]犬ハチ公の話を聞く。|主人に[ちゅう]義をつくす。,忠,5fe0
この本の[ちょ]者を調べる。|成長が[いちじる]しい。|[ちょ]作した本を大切にする。,著,8457
県[ちょう]の前で写真をとる。|気象[ちょう]が天気を発表する。|官[ちょう]に用事で行く。,庁,5e81
山の[ちょう]上に立つ。|ごちそうを[いただ]く。|大会で[ちょう]点に立つ。,頂,9802
[ちょう]をこわして休む。|胃[ちょう]の調子が悪い。|大[ちょう]は体の中にある。,腸,8178
海の[しお]風を感じる。|干[ちょう]になると海岸が広くなる。|今が[しお]時だと思う。,潮,6f6e
手伝いの[ちん]金をもらう。|毎月家[ちん]をはらう。|バス[ちん]を用意する。,賃,8cc3
頭[つう]がして休む。|足が[いた]い。|けがをした所が[いた]む。,痛,75db
強い[てき]とたたかう。|[かたき]をうつ話を読む。|昔からの[てき]がいる。,敵,6575
美術館で絵を[てん]示する。|町が大きく発[てん]する。|話が思わぬ方向に[てん]開する。,展,5c55
みんなで[とう]論する。|計画を検[とう]する。|問題について[とう]ぎする。,討,8a0e
国の政[とう]について学ぶ。|[とう]員が集まる。|物語に出てくる悪[とう]をさがす。,党,515a
紅茶に砂[とう]を入れる。|くだものには[とう]分がふくまれる。|さとうきびから[とう]分をとる。,糖,7cd6
手紙が[とど]く。|荷物を[とど]ける。|学校に[とど]け出を出す。,届,5c4a
この問題は[むずか]しい。|困[なん]な仕事をやりとげる。|大きな災[なん]にあう。,難,96e3
毎朝牛[にゅう]を用意する。|子どもの[にゅう]歯がぬける。|赤ちゃんは[ちち]で育つ。,乳,4e73
答えを確[にん]する。|自分のまちがいを[みと]める。|記録が[にん]定される。,認,8a8d
税金を[のう]入する。|きちんと道具を[おさ]める。|朝ごはんに[なっ]豆を食べる。,納,7d0d
頭[のう]をよく動かして考える。|[のう]みそをきたえる。|大[のう]のはたらきを学ぶ。,脳,8133
立[ぱ]な作品ができた。|[は]手な服を着る。|政党の中にはいくつかの[は]がある。,派,6d3e
神社で[おが]む。|作品を[はい]見する。|神前で[はい]礼する。,拝,62dd
[せ]が高くなる。|[せ]中が痛い。|絵の[はい]けいをかく。,背,80cc
