おなじ[はん]で行動する。|[はん]長になって話し合いを進める。|グループを四つの[はん]に分ける。,班,73ed
友だちの考えを[ひ]定する。|賛[ひ]を問う。|「[いな]」と首を横にふって答える。,否,5426
作品を[ひ]評する。|人の意見を[ひ]判する。|新聞に[ひ]評文がのる。,批,6279
[ひ]密の場所を教える。|[ひ]書の仕事をする人がいる。|心の中に[ひ]めた思いがある。,秘,79d8
[はら]が痛くなった。|空[ふく]で家に帰る。|[ふく]痛がして休む。,腹,8179
一列に[なら]んで立つ。|[なみ]木の下を歩く。|二台の車が[へい]行して走る。,並,4e26
天皇[へい]下のお話を聞く。|女王[へい]下が来日する。|[へい]下ということばを習う。,陛,965b
本を[と]じる。|夜になると店が[し]まる。|びんを密[ぺい]して保存する。,閉,9589
[たから]物を見つける。|[ほう]石が光る。|国の[たから]を守る。,宝,5b9d
本を学校に[わす]れる。|かさを[わす]れないようにする。|名前を[わす]れてしまう。,忘,5fd8
[かた]方の手を上げる。|[かた]道で三十分かかる。|われた皿の破[へん]をひろう。,片,7247
足りない分を[おぎな]う。|[ほ]習に行く。|委員の候[ほ]になる。,補,88dc
日が[く]れる。|毎日たのしく[く]らす。|年の[く]れに大そうじをする。,暮,66ae
友だちの家を[たず]ねる。|[ほう]問する。|春が[おとず]れる。,訪,8a2a
おじいさんが[な]くなった。|事故で死[ぼう]した人がいた。|[ぼう]命した人の話を聞く。,亡,4ea1
鉄[ぼう]で逆上がりをする。|長い[ぼう]を持つ。|[ぼう]グラフをかく。,棒,68d2
紙を一[まい]もらう。|皿が三[まい]ある。|シャツを二[まい]買う。,枚,679a
ぶたいの[まく]が開く。|開[まく]の合図を出す。|一[まく]目がおわる。,幕,5e55
秘[みつ]の場所を教える。|町と町が[みつ]接につながる。|森の中は木が[みつ]集している。,密,5146
二つの国が同[めい]になる。|同[めい]国となかよくする。|同[めい]ということばを習う。,盟,8dfdf
服の[も]様がきれいだ。|空の雲の[も]様を見る。|台風の規[ぼ]が大きい。,模,6a21
えい語を日本語に[やく]す。|通[やく]の仕事をする。|できごとの[わけ]を話す。,訳,8a33
友だちに手紙を[ゆう]送する。|お店に荷物を[ゆう]送してもらう。|本を[ゆう]送で送る。,郵,90f5
妹に[やさ]しくする。|大会で[ゆう]勝する。|スポーツに[すぐ]れる。,優,512a
[おさな]いころの思い出を話す。|[よう]虫がちょうに育つ。|[よう]児向けの絵本を読む。,幼,5e7c
新しい本が[ほ]しい。|食[よく]がわいてくる。|[よく]張らないで人にゆずる。,欲,6b32
[よく]日に返事をする。|[よく]朝早く出発する。|[よく]週にまた会うことにする。,翌,7fcc
かみの毛が[みだ]れる。|教室が混[らん]する。|列を[みだ]さずに歩く。,乱,4e71
[たまご]やきを作る。|鳥が[たまご]をうむ。|[らん]白と[らん]黄を分ける。,卵,5375
紙の[うら]に名前を書く。|[うら]にわでボールをける。|手紙の[り]面を確認する。,裏,88cf
試合に[のぞ]む。|[りん]時列車にのる。|大事な場面に[のぞ]む。,臨,81e8
詩を[ろう]読する。|[ほが]らかに笑う。|明[ろう]な性格の人。,朗,6717
みんなで[ろん]じ合う。|筋道を立てて[ろん]じる。|話し合いで理[ろん]を組み立てる。,論,8ad6
